,V5,V2,symbol
132,0.34,-1.755,
133,0.38,-1.93,
134,0.4,-2.1,
135,0.41,-2.235,
136,0.395,-2.36,/
137,0.365,-2.49,
138,0.335,-2.595,
139,0.31,-2.7,
140,0.26,-2.79,
141,0.195,-2.86,
142,0.125,-2.93,
143,0.05,-3.005,
144,-0.035,-3.045,
145,-0.13,-3.065,
146,-0.25,-3.095,
147,-0.355,-3.13,
148,-0.42,-3.155,
149,-0.435,-3.155,
150,-0.395,-3.145,
151,-0.38,-3.095,
152,-0.39,-3.03,
153,-0.405,-2.955,
154,-0.44,-2.825,
155,-0.465,-2.69,
156,-0.47,-2.525,
157,-0.46,-2.345,
158,-0.435,-2.15,
159,-0.42,-1.94,
160,-0.405,-1.71,
161,-0.38,-1.475,
162,-0.34,-1.24,
163,-0.31,-0.995,
164,-0.295,-0.8,
165,-0.305,-0.61,
166,-0.31,-0.445,
167,-0.32,-0.28,
168,-0.32,-0.085,
169,-0.31,0.065,
170,-0.31,0.22,
171,-0.305,0.35,
172,-0.29,0.46,
173,-0.29,0.555,
174,-0.265,0.635,
175,-0.26,0.69,
176,-0.24,0.74,
177,-0.245,0.775,
178,-0.24,0.825,
179,-0.235,0.85,
180,-0.215,0.905,
181,-0.2,0.945,
182,-0.195,0.97,
183,-0.205,1.005,
184,-0.215,1.045,
185,-0.2,1.07,
186,-0.2,1.125,
187,-0.19,1.17,
188,-0.19,1.195,
189,-0.19,1.235,
190,-0.185,1.25,
191,-0.195,1.305,
192,-0.185,1.355,
193,-0.175,1.4,
194,-0.165,1.435,
195,-0.17,1.465,
196,-0.17,1.505,
197,-0.16,1.55,
198,-0.15,1.605,
199,-0.14,1.65,
200,-0.135,1.68,
201,-0.135,1.71,
202,-0.15,1.73,
203,-0.15,1.78,
204,-0.14,1.83,
205,-0.13,1.865,
206,-0.12,1.89,
207,-0.12,1.9,
208,-0.115,1.92,
209,-0.115,1.93,
210,-0.1,1.95,
211,-0.09,1.975,
212,-0.085,1.955,
213,-0.08,1.96,
214,-0.09,1.955,
215,-0.09,1.94,
216,-0.08,1.945,
217,-0.06,1.925,
218,-0.06,1.895,
219,-0.05,1.855,
220,-0.045,1.82,
221,-0.07,1.78,
222,-0.055,1.76,
223,-0.055,1.715,
224,-0.04,1.655,
225,-0.04,1.605,
226,-0.045,1.535,
227,-0.05,1.47,
228,-0.05,1.43,
229,-0.05,1.36,
230,-0.05,1.3,
231,-0.05,1.235,
232,-0.05,1.155,
233,-0.065,1.085,
234,-0.065,1.03,
235,-0.065,0.98,
236,-0.07,0.91,
237,-0.07,0.835,
238,-0.09,0.76,
239,-0.105,0.715,
240,-0.105,0.655,
241,-0.105,0.615,
242,-0.11,0.555,
243,-0.11,0.495,
244,-0.14,0.445,
245,-0.15,0.4,
246,-0.15,0.365,
247,-0.155,0.325,
248,-0.15,0.275,
249,-0.155,0.235,
250,-0.185,0.185,
251,-0.185,0.16,
252,-0.18,0.15,
253,-0.185,0.135,
254,-0.175,0.1,
255,-0.19,0.075,
256,-0.205,0.045,
257,-0.225,0.02,
258,-0.22,0.03,
259,-0.205,0.02,
260,-0.2,0.0,
261,-0.215,-0.015,
262,-0.225,-0.02,
263,-0.225,-0.035,
264,-0.23,-0.035,
265,-0.23,-0.04,
266,-0.225,-0.05,
267,-0.225,-0.07,
268,-0.23,-0.07,
269,-0.24,-0.065,
270,-0.245,-0.07,
271,-0.23,-0.055,
272,-0.235,-0.07,
273,-0.23,-0.075,
274,-0.245,-0.08,
275,-0.25,-0.085,
276,-0.23,-0.07,
277,-0.235,-0.065,
278,-0.23,-0.07,
279,-0.235,-0.07,
280,-0.25,-0.08,
281,-0.245,-0.085,
282,-0.245,-0.075,
283,-0.235,-0.055,
284,-0.24,-0.06,
285,-0.23,-0.06,
286,-0.235,-0.065,
287,-0.245,-0.07,
288,-0.235,-0.06,
289,-0.23,-0.04,
290,-0.225,-0.035,
291,-0.22,-0.04,
292,-0.22,-0.04,
293,-0.235,-0.04,
294,-0.23,-0.04,
295,-0.22,-0.02,
296,-0.205,-0.02,
297,-0.225,-0.04,
298,-0.23,-0.03,
299,-0.23,-0.035,
300,-0.23,-0.015,
301,-0.215,-0.02,
302,-0.215,-0.02,
303,-0.22,-0.03,
304,-0.235,-0.025,
305,-0.24,-0.03,
306,-0.235,-0.035,
307,-0.23,-0.015,
308,-0.225,-0.02,
309,-0.23,-0.035,
310,-0.25,-0.045,
311,-0.255,-0.045,
312,-0.245,-0.035,
313,-0.24,-0.04,
314,-0.24,-0.045,
315,-0.24,-0.045,
316,-0.255,-0.06,
317,-0.255,-0.08,
318,-0.26,-0.065,
319,-0.245,-0.06,
320,-0.245,-0.065,
321,-0.25,-0.09,
322,-0.265,-0.095,
323,-0.275,-0.1,
324,-0.27,-0.095,
325,-0.25,-0.1,
326,-0.255,-0.105,
327,-0.27,-0.115,
328,-0.275,-0.135,
329,-0.285,-0.14,
330,-0.285,-0.135,
331,-0.265,-0.12,
332,-0.275,-0.135,
333,-0.275,-0.145,
334,-0.28,-0.155,
335,-0.29,-0.15,
336,-0.275,-0.15,
337,-0.275,-0.15,
338,-0.265,-0.155,
339,-0.275,-0.16,
340,-0.29,-0.17,
341,-0.305,-0.18,
342,-0.3,-0.17,
343,-0.29,-0.165,
344,-0.285,-0.18,
345,-0.285,-0.185,
346,-0.295,-0.19,
347,-0.305,-0.185,
348,-0.29,-0.185,
349,-0.295,-0.185,
350,-0.275,-0.195,
351,-0.275,-0.19,
352,-0.305,-0.205,
353,-0.295,-0.21,
354,-0.3,-0.205,
355,-0.285,-0.2,
356,-0.28,-0.21,
357,-0.29,-0.215,
358,-0.305,-0.22,
359,-0.3,-0.225,
360,-0.305,-0.215,
361,-0.29,-0.205,
362,-0.295,-0.22,
363,-0.29,-0.215,
364,-0.305,-0.235,
365,-0.31,-0.23,
366,-0.31,-0.22,
367,-0.29,-0.215,
368,-0.29,-0.215,
369,-0.3,-0.22,
370,-0.295,-0.225,
371,-0.305,-0.225,
372,-0.3,-0.22,
373,-0.295,-0.215,
374,-0.29,-0.22,
375,-0.29,-0.215,
376,-0.295,-0.245,
377,-0.3,-0.235,
378,-0.285,-0.23,
379,-0.28,-0.215,
380,-0.285,-0.23,
381,-0.275,-0.23,
382,-0.305,-0.245,
383,-0.295,-0.235,
384,-0.29,-0.23,
385,-0.285,-0.21,
386,-0.28,-0.215,
387,-0.285,-0.23,
388,-0.3,-0.23,
389,-0.305,-0.24,
390,-0.305,-0.22,
391,-0.29,-0.205,
392,-0.29,-0.205,
393,-0.28,-0.215,
394,-0.285,-0.21,
395,-0.285,-0.205,
396,-0.275,-0.17,
397,-0.27,-0.14,
398,-0.26,-0.135,
399,-0.26,-0.15,
400,-0.255,-0.13,
401,-0.255,-0.065,
402,-0.23,0.125,
403,-0.19,0.49,
404,-0.155,0.79,
405,-0.1,0.745,
406,0.01,0.495,
407,0.24,0.32,
408,0.63,0.245,
409,0.915,0.21,
410,0.885,0.14,/
411,0.595,0.075,
412,0.32,-0.01,
413,0.2,-0.11,
414,0.19,-0.21,
415,0.21,-0.35,
416,0.205,-0.515,
417,0.21,-0.695,
418,0.195,-0.885,
419,0.19,-1.105,
420,0.2,-1.27,
421,0.225,-1.405,
422,0.23,-1.53,
423,0.22,-1.66,
424,0.205,-1.815,
425,0.185,-2.015,
426,0.195,-2.225,
427,0.18,-2.42,
428,0.175,-2.57,
429,0.155,-2.71,
430,0.115,-2.83,
431,0.07,-2.935,
432,0.045,-3.025,
433,0.0,-3.085,
434,-0.04,-3.125,
435,-0.105,-3.17,
436,-0.155,-3.205,
437,-0.215,-3.22,
438,-0.28,-3.24,
439,-0.35,-3.22,
440,-0.405,-3.23,
441,-0.45,-3.245,
442,-0.44,-3.24,
443,-0.39,-3.21,
444,-0.33,-3.17,
445,-0.285,-3.095,
446,-0.28,-2.99,
447,-0.305,-2.875,
448,-0.325,-2.755,
449,-0.365,-2.59,
450,-0.36,-2.39,
451,-0.35,-2.175,
452,-0.335,-1.94,
453,-0.31,-1.72,
454,-0.29,-1.48,
455,-0.29,-1.2,
456,-0.29,-0.96,
457,-0.31,-0.745,
458,-0.32,-0.54,
459,-0.335,-0.34,
460,-0.34,-0.14,
461,-0.345,0.03,
462,-0.355,0.19,
463,-0.335,0.355,
464,-0.335,0.46,
465,-0.335,0.55,
466,-0.34,0.635,
467,-0.345,0.675,
468,-0.33,0.745,
469,-0.32,0.795,
470,-0.305,0.84,
471,-0.3,0.885,
472,-0.3,0.92,
473,-0.3,0.96,
474,-0.29,1.01,
475,-0.285,1.05,
476,-0.285,1.085,
477,-0.28,1.11,
478,-0.29,1.14,
479,-0.28,1.185,
480,-0.285,1.23,
481,-0.265,1.275,
482,-0.265,1.3,
483,-0.27,1.32,
484,-0.265,1.35,
485,-0.27,1.4,
486,-0.265,1.435,
487,-0.25,1.49,
488,-0.245,1.515,
489,-0.245,1.55,
490,-0.245,1.57,
491,-0.25,1.625,
492,-0.25,1.665,
493,-0.225,1.7,
494,-0.225,1.735,
495,-0.23,1.76,
496,-0.235,1.785,
497,-0.245,1.83,
498,-0.215,1.86,
499,-0.21,1.9,
500,-0.195,1.92,
501,-0.2,1.925,
502,-0.2,1.935,
503,-0.205,1.96,
504,-0.195,1.965,
505,-0.17,1.985,
506,-0.16,1.98,
507,-0.165,1.96,
508,-0.16,1.935,
509,-0.165,1.925,
510,-0.145,1.915,
511,-0.135,1.895,
512,-0.135,1.86,
513,-0.135,1.81,
514,-0.13,1.76,
515,-0.135,1.725,
516,-0.125,1.675,
517,-0.12,1.63,
518,-0.11,1.555,
519,-0.125,1.49,
520,-0.125,1.42,
521,-0.135,1.35,
522,-0.13,1.3,
523,-0.125,1.235,
524,-0.12,1.16,
525,-0.125,1.065,
526,-0.13,1.0,
527,-0.14,0.93,
528,-0.135,0.875,
529,-0.135,0.83,
530,-0.13,0.76,
531,-0.135,0.69,
532,-0.15,0.635,
533,-0.16,0.575,
534,-0.16,0.54,
535,-0.145,0.495,
536,-0.15,0.445,
537,-0.155,0.4,
538,-0.175,0.34,
539,-0.19,0.295,
540,-0.185,0.28,
541,-0.185,0.245,
542,-0.185,0.205,
543,-0.19,0.17,
544,-0.205,0.14,
545,-0.205,0.115,
546,-0.205,0.11,
547,-0.2,0.095,
548,-0.205,0.065,
549,-0.21,0.045,
550,-0.23,0.03,
551,-0.22,0.025,
552,-0.225,0.015,
553,-0.215,0.02,
554,-0.22,0.005,
555,-0.22,-0.02,
556,-0.23,-0.035,
557,-0.225,-0.035,
558,-0.22,-0.04,
559,-0.225,-0.02,
560,-0.23,-0.04,
561,-0.23,-0.045,
562,-0.235,-0.05,
563,-0.24,-0.055,
564,-0.225,-0.045,
565,-0.225,-0.025,
566,-0.225,-0.035,
567,-0.22,-0.04,
568,-0.225,-0.05,
569,-0.235,-0.055,
570,-0.225,-0.035,
571,-0.22,-0.03,
572,-0.21,-0.025,
573,-0.215,-0.035,
574,-0.23,-0.035,
575,-0.235,-0.035,
576,-0.225,-0.03,
577,-0.21,-0.015,
578,-0.21,-0.02,
579,-0.22,-0.015,
580,-0.22,-0.03,
581,-0.23,-0.025,
582,-0.225,-0.005,
583,-0.215,0.005,
584,-0.22,0.0,
585,-0.215,-0.01,
586,-0.23,-0.015,
587,-0.23,-0.03,
588,-0.22,-0.025,
589,-0.21,-0.005,
590,-0.215,0.005,
591,-0.215,-0.02,
592,-0.225,-0.035,
593,-0.225,-0.035,
594,-0.225,-0.03,
595,-0.215,-0.025,
596,-0.22,-0.03,
597,-0.235,-0.04,
598,-0.24,-0.055,
599,-0.235,-0.06,
600,-0.24,-0.05,
601,-0.23,-0.045,
602,-0.225,-0.05,
603,-0.23,-0.07,
604,-0.24,-0.085,
605,-0.245,-0.085,
606,-0.245,-0.085,
607,-0.24,-0.075,
608,-0.23,-0.095,
609,-0.24,-0.11,
610,-0.245,-0.125,
611,-0.25,-0.115,
612,-0.25,-0.115,
613,-0.245,-0.115,
614,-0.24,-0.13,
615,-0.24,-0.145,
616,-0.255,-0.15,
617,-0.27,-0.145,
618,-0.255,-0.15,
619,-0.255,-0.135,
620,-0.245,-0.155,
621,-0.255,-0.165,
622,-0.26,-0.175,
623,-0.27,-0.18,
624,-0.265,-0.175,
625,-0.265,-0.165,
626,-0.265,-0.17,
627,-0.255,-0.19,
628,-0.265,-0.185,
629,-0.27,-0.195,
630,-0.275,-0.19,
631,-0.26,-0.185,
632,-0.26,-0.18,
633,-0.265,-0.2,
634,-0.27,-0.215,
635,-0.27,-0.215,
636,-0.275,-0.205,
637,-0.26,-0.21,
638,-0.255,-0.215,
639,-0.265,-0.215,
640,-0.28,-0.23,
641,-0.29,-0.215,
642,-0.285,-0.215,
643,-0.27,-0.21,
644,-0.265,-0.205,
645,-0.27,-0.22,
646,-0.28,-0.23,
647,-0.29,-0.235,
648,-0.29,-0.215,
649,-0.275,-0.215,
650,-0.265,-0.225,
651,-0.27,-0.23,
652,-0.29,-0.235,
653,-0.28,-0.235,
654,-0.275,-0.235,
655,-0.26,-0.23,
656,-0.26,-0.22,
657,-0.27,-0.24,
658,-0.285,-0.24,
659,-0.285,-0.245,
660,-0.27,-0.245,
661,-0.265,-0.23,
662,-0.27,-0.23,
663,-0.265,-0.24,
664,-0.285,-0.25,
665,-0.285,-0.245,
666,-0.28,-0.235,
667,-0.265,-0.225,
668,-0.265,-0.235,
669,-0.27,-0.245,
670,-0.27,-0.26,
671,-0.27,-0.26,
672,-0.265,-0.235,
673,-0.265,-0.24,
674,-0.265,-0.24,
675,-0.27,-0.255,
676,-0.27,-0.255,
677,-0.28,-0.245,
678,-0.28,-0.245,
679,-0.26,-0.23,
680,-0.255,-0.23,
681,-0.255,-0.235,
682,-0.26,-0.255,
683,-0.265,-0.235,
684,-0.255,-0.225,
685,-0.245,-0.205,
686,-0.235,-0.205,
687,-0.24,-0.185,
688,-0.23,-0.125,
689,-0.235,0.065,
690,-0.195,0.445,
691,-0.15,0.835,
692,-0.12,0.89,
693,-0.035,0.635,
694,0.17,0.35,
695,0.515,0.22,
696,0.87,0.175,
697,0.87,0.12,/
698,0.57,0.035,
699,0.275,-0.05,
700,0.155,-0.16,
701,0.15,-0.3,
702,0.175,-0.435,
703,0.18,-0.61,
704,0.175,-0.79,
705,0.16,-1.015,
706,0.16,-1.225,
707,0.16,-1.38,
708,0.17,-1.52,
709,0.165,-1.625,
710,0.155,-1.785,
711,0.135,-1.98,
712,0.115,-2.2,
713,0.115,-2.4,
714,0.12,-2.56,
715,0.11,-2.67,
716,0.09,-2.77,
717,0.04,-2.885,
718,0.0,-3.005,
719,-0.06,-3.09,
720,-0.11,-3.115,
721,-0.16,-3.15,
722,-0.205,-3.185,
723,-0.27,-3.215,
724,-0.335,-3.245,
725,-0.425,-3.25,
726,-0.505,-3.24,
727,-0.53,-3.245,
728,-0.52,-3.255,
729,-0.48,-3.25,
730,-0.445,-3.245,
731,-0.405,-3.22,
732,-0.375,-3.16,
733,-0.345,-3.08,
734,-0.335,-2.985,
735,-0.34,-2.87,
736,-0.33,-2.74,
737,-0.32,-2.545,
738,-0.295,-2.35,
739,-0.27,-2.09,
740,-0.255,-1.815,
741,-0.225,-1.54,
742,-0.22,-1.275,
743,-0.225,-1.0,
744,-0.255,-0.765,
745,-0.27,-0.53,
746,-0.29,-0.315,
747,-0.305,-0.125,
748,-0.31,0.055,
749,-0.325,0.25,
750,-0.32,0.4,
751,-0.31,0.525,
752,-0.29,0.61,
753,-0.295,0.655,
754,-0.305,0.7,
755,-0.315,0.75,
756,-0.305,0.8,
757,-0.305,0.84,
758,-0.3,0.88,
759,-0.3,0.905,
760,-0.305,0.92,
761,-0.315,0.96,
762,-0.305,0.995,
763,-0.295,1.03,
764,-0.295,1.045,
765,-0.31,1.08,
766,-0.315,1.09,
767,-0.315,1.135,
768,-0.32,1.17,
769,-0.305,1.195,
770,-0.3,1.215,
771,-0.315,1.265,
772,-0.31,1.27,
773,-0.315,1.325,
774,-0.305,1.355,
775,-0.295,1.4,
776,-0.29,1.43,
777,-0.3,1.46,
778,-0.3,1.485,
779,-0.295,1.525,
780,-0.295,1.57,
781,-0.275,1.62,
782,-0.26,1.64,
783,-0.28,1.67,
784,-0.28,1.7,
785,-0.27,1.74,
786,-0.26,1.775,
787,-0.255,1.825,
788,-0.245,1.855,
789,-0.24,1.875,
790,-0.245,1.88,
791,-0.245,1.91,
792,-0.235,1.94,
793,-0.205,1.955,
794,-0.21,1.97,
795,-0.2,1.955,
796,-0.21,1.96,
797,-0.205,1.955,
798,-0.18,1.97,
799,-0.165,1.945,
800,-0.155,1.935,
801,-0.155,1.905,
802,-0.155,1.86,
803,-0.155,1.83,
804,-0.14,1.8,
805,-0.135,1.775,
806,-0.115,1.72,
807,-0.125,1.65,
808,-0.125,1.59,
809,-0.135,1.525,
810,-0.12,1.47,
811,-0.125,1.42,
812,-0.11,1.34,
813,-0.115,1.25,
814,-0.13,1.185,
815,-0.135,1.12,
816,-0.13,1.05,
817,-0.115,0.99,
818,-0.125,0.915,
819,-0.115,0.84,
820,-0.12,0.77,
821,-0.14,0.705,
822,-0.125,0.66,
823,-0.13,0.61,
824,-0.125,0.55,
825,-0.135,0.49,
826,-0.145,0.44,
827,-0.15,0.385,
828,-0.15,0.355,
829,-0.145,0.325,
830,-0.15,0.28,
831,-0.175,0.245,
832,-0.18,0.2,
833,-0.2,0.185,
834,-0.19,0.155,
835,-0.19,0.145,
836,-0.185,0.13,
837,-0.2,0.11,
838,-0.21,0.08,
839,-0.22,0.065,
840,-0.21,0.065,
841,-0.21,0.055,
842,-0.225,0.05,
843,-0.225,0.025,
844,-0.23,0.01,
845,-0.235,-0.005,
846,-0.225,0.005,
847,-0.225,0.01,
848,-0.22,0.005,
849,-0.225,0.005,
850,-0.245,-0.005,
851,-0.25,0.0,
852,-0.24,0.0,
853,-0.235,0.005,
854,-0.23,0.0,
855,-0.225,-0.005,
856,-0.24,-0.02,
857,-0.24,-0.01,
858,-0.235,-0.005,
859,-0.24,0.0,
860,-0.235,0.005,
861,-0.245,-0.01,
862,-0.255,-0.01,
863,-0.26,-0.01,
864,-0.255,0.0,
865,-0.245,0.0,
866,-0.255,-0.005,
867,-0.255,-0.015,
868,-0.255,-0.01,
869,-0.26,-0.015,
870,-0.255,-0.015,
871,-0.24,-0.005,
872,-0.24,-0.01,
873,-0.245,-0.02,
874,-0.265,-0.025,
875,-0.285,-0.04,
876,-0.28,-0.025,
877,-0.275,-0.015,
878,-0.255,-0.02,
879,-0.245,-0.05,
880,-0.25,-0.065,
881,-0.265,-0.06,
882,-0.25,-0.06,
883,-0.25,-0.055,
884,-0.25,-0.055,
885,-0.255,-0.075,
886,-0.275,-0.1,
887,-0.29,-0.1,
888,-0.285,-0.085,
889,-0.29,-0.09,
890,-0.27,-0.105,
891,-0.275,-0.11,
892,-0.28,-0.12,
893,-0.285,-0.125,
894,-0.285,-0.115,
895,-0.29,-0.125,
896,-0.285,-0.12,
897,-0.3,-0.125,
898,-0.295,-0.14,
899,-0.3,-0.16,
900,-0.29,-0.145,
901,-0.29,-0.16,
902,-0.275,-0.155,
903,-0.285,-0.175,
904,-0.31,-0.18,
905,-0.305,-0.18,
906,-0.31,-0.175,
907,-0.305,-0.165,
908,-0.3,-0.18,
909,-0.305,-0.185,
910,-0.305,-0.205,
911,-0.315,-0.205,
912,-0.3,-0.19,
913,-0.295,-0.195,
914,-0.295,-0.2,
915,-0.295,-0.21,
916,-0.31,-0.22,
917,-0.33,-0.205,
918,-0.305,-0.205,
919,-0.3,-0.2,
920,-0.29,-0.215,
921,-0.29,-0.215,
922,-0.3,-0.23,
923,-0.31,-0.23,
924,-0.305,-0.22,
925,-0.3,-0.215,
926,-0.295,-0.215,
927,-0.3,-0.235,
928,-0.305,-0.25,
929,-0.315,-0.245,
930,-0.3,-0.235,
931,-0.305,-0.235,
932,-0.3,-0.23,
933,-0.29,-0.24,
934,-0.305,-0.255,
935,-0.315,-0.245,
936,-0.305,-0.245,
937,-0.305,-0.24,
938,-0.295,-0.25,
939,-0.295,-0.25,
940,-0.305,-0.265,
941,-0.305,-0.255,
942,-0.295,-0.24,
943,-0.305,-0.24,
944,-0.295,-0.255,
945,-0.295,-0.255,
946,-0.315,-0.275,
947,-0.31,-0.26,
948,-0.315,-0.25,
949,-0.3,-0.24,
950,-0.295,-0.24,
951,-0.305,-0.255,
952,-0.31,-0.275,
953,-0.32,-0.265,
954,-0.31,-0.255,
955,-0.3,-0.26,
956,-0.285,-0.25,
957,-0.28,-0.255,
958,-0.285,-0.27,
959,-0.29,-0.27,
960,-0.29,-0.25,
961,-0.27,-0.24,
962,-0.27,-0.255,
963,-0.28,-0.26,
964,-0.295,-0.265,
965,-0.305,-0.26,
966,-0.29,-0.25,
967,-0.29,-0.24,
968,-0.285,-0.25,
969,-0.285,-0.255,
970,-0.285,-0.27,
971,-0.295,-0.265,
972,-0.295,-0.25,
973,-0.28,-0.235,
974,-0.27,-0.235,
975,-0.27,-0.255,
976,-0.275,-0.255,
977,-0.27,-0.25,
978,-0.25,-0.235,
979,-0.24,-0.185,
980,-0.23,-0.13,
981,-0.225,0.075,
982,-0.2,0.44,
983,-0.17,0.72,
984,-0.095,0.665,
985,0.055,0.41,
986,0.35,0.235,
987,0.715,0.16,
988,0.88,0.095,
989,0.7,0.045,/
990,0.39,-0.025,
991,0.205,-0.105,
992,0.15,-0.235,
993,0.15,-0.375,
994,0.145,-0.53,
995,0.125,-0.705,
996,0.11,-0.9,
997,0.125,-1.095,
998,0.135,-1.29,
999,0.14,-1.6,
1000,0.12,-1.73,
1001,0.11,-1.865,
1002,0.09,-2.015,
1003,0.09,-2.205,
1004,0.09,-2.43,
1005,0.08,-2.59,
1006,0.06,-2.705,
1007,0.045,-2.79,
1008,0.035,-2.875,
1009,-0.01,-2.98,
1010,-0.045,-3.07,
1011,-0.1,-3.145,
1012,-0.17,-3.17,
1013,-0.22,-3.195,
1014,-0.265,-3.205,
1015,-0.31,-3.24,
1016,-0.375,-3.255,
1017,-0.46,-3.28,
1018,-0.55,-3.275,
1019,-0.6,-3.25,
1020,-0.6,-3.26,
1021,-0.59,-3.245,
1022,-0.57,-3.235,
1023,-0.525,-3.235,
1024,-0.5,-3.195,
1025,-0.485,-3.12,
1026,-0.48,-3.025,
1027,-0.485,-2.9,
1028,-0.49,-2.77,
1029,-0.48,-2.61,
1030,-0.485,-2.405,
1031,-0.45,-2.175,
1032,-0.42,-1.925,
1033,-0.375,-1.685,
1034,-0.335,-1.44,
1035,-0.32,-1.185,
1036,-0.315,-0.935,
1037,-0.32,-0.71,
1038,-0.32,-0.495,
1039,-0.305,-0.3,
1040,-0.295,-0.145,
1041,-0.3,0.005,
1042,-0.295,0.175,
1043,-0.28,0.32,
1044,-0.27,0.455,
1045,-0.255,0.535,
1046,-0.25,0.59,
1047,-0.23,0.635,
1048,-0.225,0.695,
1049,-0.22,0.735,
1050,-0.21,0.77,
1051,-0.215,0.79,
1052,-0.225,0.815,
1053,-0.235,0.83,
1054,-0.245,0.87,
1055,-0.225,0.895,
1056,-0.21,0.925,
1057,-0.21,0.96,
1058,-0.195,0.975,
1059,-0.2,1.01,
1060,-0.215,1.045,
1061,-0.215,1.085,
1062,-0.22,1.115,
1063,-0.225,1.135,
1064,-0.23,1.15,
1065,-0.23,1.155,
1066,-0.25,1.19,
1067,-0.245,1.23,
1068,-0.25,1.255,
1069,-0.24,1.29,
1070,-0.235,1.31,
1071,-0.235,1.33,
1072,-0.245,1.36,
1073,-0.24,1.405,
1074,-0.245,1.435,
1075,-0.255,1.48,
1076,-0.26,1.49,
1077,-0.275,1.5,
1078,-0.275,1.54,
1079,-0.26,1.58,
1080,-0.255,1.625,
1081,-0.255,1.635,
1082,-0.26,1.645,
1083,-0.265,1.665,
1084,-0.265,1.705,
1085,-0.25,1.75,
1086,-0.24,1.775,
1087,-0.235,1.785,
1088,-0.225,1.8,
1089,-0.23,1.81,
1090,-0.23,1.825,
1091,-0.215,1.85,
1092,-0.21,1.865,
1093,-0.22,1.875,
1094,-0.21,1.87,
1095,-0.215,1.85,
1096,-0.21,1.86,
1097,-0.195,1.86,
1098,-0.175,1.865,
1099,-0.15,1.86,
1100,-0.145,1.83,
1101,-0.155,1.795,
1102,-0.16,1.77,
1103,-0.165,1.765,
1104,-0.145,1.735,
1105,-0.14,1.695,
