,V5,MLII,symbol
274,-0.285,0.0,
275,-0.275,-0.015,
276,-0.295,-0.025,
277,-0.31,-0.03,
278,-0.305,-0.015,
279,-0.285,-0.005,
280,-0.275,0.005,
281,-0.285,-0.005,
282,-0.29,-0.025,
283,-0.29,-0.03,
284,-0.315,-0.015,
285,-0.29,-0.01,
286,-0.28,0.005,
287,-0.27,0.0,
288,-0.29,-0.005,
289,-0.295,-0.02,
290,-0.3,-0.005,
291,-0.295,0.015,
292,-0.28,0.025,
293,-0.28,0.025,
294,-0.275,0.02,
295,-0.295,0.03,
296,-0.29,0.065,
297,-0.255,0.11,
298,-0.24,0.14,
299,-0.215,0.19,
300,-0.195,0.235,
301,-0.175,0.285,
302,-0.165,0.355,
303,-0.175,0.485,
304,-0.235,0.635,
305,-0.305,0.8,
306,-0.35,0.965,
307,-0.405,1.125,
308,-0.485,1.325,
309,-0.54,1.535,
310,-0.545,1.76,N
311,-0.47,1.98,
312,-0.34,2.05,
313,-0.18,1.88,
314,-0.06,1.4,
315,-0.045,0.77,
316,-0.215,0.28,
317,-0.515,0.01,
318,-0.725,-0.07,
319,-0.77,-0.055,
320,-0.69,-0.025,
321,-0.53,-0.005,
322,-0.385,0.0,
323,-0.305,-0.005,
324,-0.29,-0.04,
325,-0.285,-0.065,
326,-0.275,-0.075,
327,-0.27,-0.06,
328,-0.245,-0.07,
329,-0.25,-0.07,
330,-0.25,-0.09,
331,-0.245,-0.11,
332,-0.235,-0.095,
333,-0.225,-0.09,
334,-0.2,-0.075,
335,-0.21,-0.08,
336,-0.2,-0.095,
337,-0.22,-0.105,
338,-0.215,-0.08,
339,-0.21,-0.09,
340,-0.19,-0.085,
341,-0.19,-0.09,
342,-0.19,-0.105,
343,-0.205,-0.105,
344,-0.205,-0.105,
345,-0.2,-0.09,
346,-0.175,-0.085,
347,-0.175,-0.1,
348,-0.185,-0.125,
349,-0.205,-0.135,
350,-0.2,-0.115,
351,-0.19,-0.11,
352,-0.165,-0.095,
353,-0.17,-0.12,
354,-0.18,-0.145,
355,-0.195,-0.125,
356,-0.195,-0.12,
357,-0.18,-0.125,
358,-0.18,-0.105,
359,-0.17,-0.115,
360,-0.175,-0.135,
361,-0.185,-0.145,
362,-0.18,-0.125,
363,-0.17,-0.125,
364,-0.16,-0.115,
365,-0.16,-0.115,
366,-0.185,-0.13,
367,-0.17,-0.13,
368,-0.18,-0.12,
369,-0.165,-0.125,
370,-0.14,-0.11,
371,-0.13,-0.115,
372,-0.125,-0.125,
373,-0.14,-0.125,
374,-0.145,-0.105,
375,-0.135,-0.105,
376,-0.13,-0.095,
377,-0.115,-0.105,
378,-0.125,-0.125,
379,-0.12,-0.115,
380,-0.12,-0.11,
381,-0.12,-0.095,
382,-0.11,-0.085,
383,-0.095,-0.085,
384,-0.1,-0.105,
385,-0.105,-0.1,
386,-0.11,-0.095,
387,-0.1,-0.06,
388,-0.075,-0.06,
389,-0.075,-0.055,
390,-0.085,-0.06,
391,-0.07,-0.07,
392,-0.08,-0.04,
393,-0.06,-0.025,
394,-0.04,-0.005,
395,-0.03,0.0,
396,-0.035,-0.005,
397,-0.04,0.005,
398,-0.03,0.03,
399,-0.01,0.055,
400,-0.005,0.095,
401,0.005,0.09,
402,0.005,0.095,
403,-0.005,0.1,
404,-0.005,0.13,
405,0.01,0.16,
406,0.025,0.19,
407,0.025,0.19,
408,0.0,0.18,
409,-0.01,0.185,
410,-0.01,0.205,
411,-0.02,0.23,
412,0.01,0.24,
413,0.01,0.235,
414,-0.01,0.22,
415,-0.03,0.215,
416,-0.035,0.215,
417,-0.04,0.215,
418,-0.035,0.225,
419,-0.055,0.21,
420,-0.065,0.18,
421,-0.08,0.155,
422,-0.1,0.16,
423,-0.095,0.16,
424,-0.095,0.155,
425,-0.115,0.135,
426,-0.13,0.11,
427,-0.15,0.095,
428,-0.165,0.09,
429,-0.165,0.1,
430,-0.165,0.09,
431,-0.18,0.075,
432,-0.18,0.065,
433,-0.21,0.04,
434,-0.2,0.055,
435,-0.2,0.06,
436,-0.19,0.07,
437,-0.195,0.05,
438,-0.215,0.035,
439,-0.22,0.025,
440,-0.22,0.04,
441,-0.215,0.045,
442,-0.21,0.045,
443,-0.215,0.035,
444,-0.225,0.02,
445,-0.23,0.015,
446,-0.25,0.015,
447,-0.235,0.03,
448,-0.22,0.05,
449,-0.225,0.03,
450,-0.235,0.02,
451,-0.245,0.01,
452,-0.245,0.025,
453,-0.24,0.035,
454,-0.225,0.025,
455,-0.22,0.015,
456,-0.245,0.015,
457,-0.265,0.0,
458,-0.245,0.015,
459,-0.245,0.015,
460,-0.235,0.02,
461,-0.235,0.01,
462,-0.24,-0.005,
463,-0.265,-0.005,
464,-0.265,-0.005,
465,-0.255,0.01,
466,-0.235,0.03,
467,-0.225,0.005,
468,-0.245,-0.01,
469,-0.26,-0.005,
470,-0.26,-0.015,
471,-0.255,0.0,
472,-0.24,0.005,
473,-0.245,0.0,
474,-0.25,-0.02,
475,-0.265,-0.02,
476,-0.255,-0.01,
477,-0.255,0.015,
478,-0.245,0.015,
479,-0.235,-0.005,
480,-0.25,-0.005,
481,-0.265,-0.01,
482,-0.26,-0.01,
483,-0.25,0.01,
484,-0.235,0.02,
485,-0.23,0.01,
486,-0.24,0.0,
487,-0.255,-0.01,
488,-0.25,0.0,
489,-0.24,0.015,
490,-0.22,0.015,
491,-0.22,0.005,
492,-0.24,0.0,
493,-0.24,0.0,
494,-0.24,0.015,
495,-0.24,0.025,
496,-0.225,0.02,
497,-0.225,0.01,
498,-0.235,-0.005,
499,-0.235,0.0,
500,-0.245,0.01,
501,-0.23,0.03,
502,-0.22,0.03,
503,-0.215,0.02,
504,-0.23,0.015,
505,-0.24,0.01,
506,-0.255,0.01,
507,-0.245,0.035,
508,-0.22,0.035,
509,-0.23,0.03,
510,-0.24,0.02,
511,-0.255,0.005,
512,-0.26,0.015,
513,-0.245,0.025,
514,-0.24,0.03,
515,-0.235,0.02,
516,-0.255,0.005,
517,-0.265,-0.005,
518,-0.27,0.005,
519,-0.25,0.01,
520,-0.235,0.02,
521,-0.24,0.015,
522,-0.25,0.0,
523,-0.26,-0.01,
524,-0.26,-0.005,
525,-0.25,0.01,
526,-0.24,0.03,
527,-0.24,0.0,
528,-0.255,0.005,
529,-0.265,-0.015,
530,-0.27,-0.005,
531,-0.265,0.015,
532,-0.25,0.03,
533,-0.255,0.01,
534,-0.28,-0.005,
535,-0.29,-0.02,
536,-0.28,-0.005,
537,-0.28,0.0,
538,-0.26,0.015,
539,-0.265,0.005,
540,-0.275,-0.01,
541,-0.285,-0.015,
542,-0.285,-0.01,
543,-0.265,0.0,
544,-0.25,0.015,
545,-0.255,-0.005,
546,-0.27,-0.02,
547,-0.28,-0.03,
548,-0.28,-0.005,
549,-0.265,0.0,
550,-0.245,-0.005,
551,-0.26,0.0,
552,-0.265,-0.005,
553,-0.27,-0.015,
554,-0.27,-0.01,
555,-0.26,-0.01,
556,-0.255,0.005,
557,-0.25,-0.005,
558,-0.27,-0.01,
559,-0.27,-0.01,
560,-0.28,-0.005,
561,-0.27,-0.005,
562,-0.265,-0.005,
563,-0.26,-0.01,
564,-0.285,-0.025,
565,-0.285,-0.02,
566,-0.285,-0.02,
567,-0.285,-0.01,
568,-0.26,-0.005,
569,-0.275,-0.005,
570,-0.275,-0.02,
571,-0.28,-0.03,
572,-0.275,-0.015,
573,-0.275,-0.01,
574,-0.265,0.005,
575,-0.25,0.0,
576,-0.27,-0.02,
577,-0.275,-0.01,
578,-0.29,-0.02,
579,-0.27,0.0,
580,-0.265,0.0,
581,-0.265,-0.005,
582,-0.27,-0.02,
583,-0.295,-0.03,
584,-0.295,-0.015,
585,-0.285,0.0,
586,-0.265,0.0,
587,-0.26,-0.005,
588,-0.27,-0.01,
589,-0.285,-0.025,
590,-0.31,-0.025,
591,-0.29,-0.015,
592,-0.27,-0.005,
593,-0.27,-0.005,
594,-0.28,-0.025,
595,-0.295,-0.03,
596,-0.295,-0.01,
597,-0.285,0.005,
598,-0.275,-0.005,
599,-0.27,-0.01,
600,-0.28,-0.025,
601,-0.285,-0.035,
602,-0.3,-0.01,
603,-0.27,0.0,
604,-0.275,0.0,
605,-0.28,-0.005,
606,-0.275,-0.025,
607,-0.28,-0.03,
608,-0.285,-0.025,
609,-0.27,-0.01,
610,-0.255,0.0,
611,-0.255,-0.005,
612,-0.265,-0.02,
613,-0.27,-0.02,
614,-0.29,-0.02,
615,-0.26,0.0,
616,-0.245,0.0,
617,-0.255,-0.005,
618,-0.265,-0.025,
619,-0.285,-0.03,
620,-0.285,-0.02,
621,-0.265,-0.005,
622,-0.245,0.01,
623,-0.255,-0.005,
624,-0.27,-0.015,
625,-0.275,-0.03,
626,-0.285,-0.005,
627,-0.27,-0.01,
628,-0.255,0.0,
629,-0.25,0.0,
630,-0.26,-0.015,
631,-0.27,-0.02,
632,-0.27,0.005,
633,-0.26,0.005,
634,-0.23,0.0,
635,-0.24,0.0,
636,-0.245,-0.01,
637,-0.245,-0.01,
638,-0.24,0.025,
639,-0.215,0.025,
640,-0.195,0.04,
641,-0.2,0.04,
642,-0.21,0.02,
643,-0.21,0.015,
644,-0.205,0.03,
645,-0.195,0.045,
646,-0.18,0.05,
647,-0.175,0.06,
648,-0.175,0.045,
649,-0.19,0.03,
650,-0.2,0.05,
651,-0.195,0.055,
652,-0.185,0.07,
653,-0.185,0.045,
654,-0.215,0.015,
655,-0.22,0.0,
656,-0.235,0.025,
657,-0.23,0.025,
658,-0.22,0.025,
659,-0.225,0.04,
660,-0.24,0.03,
661,-0.245,0.02,
662,-0.235,0.03,
663,-0.245,0.05,
664,-0.21,0.055,
665,-0.22,0.055,
666,-0.23,0.03,
667,-0.24,0.025,
668,-0.235,0.04,
669,-0.225,0.045,
670,-0.21,0.035,
671,-0.21,0.01,
672,-0.225,-0.015,
673,-0.245,-0.01,
674,-0.28,-0.005,
675,-0.27,0.01,
676,-0.26,0.01,
677,-0.275,0.0,
678,-0.28,-0.005,
679,-0.285,-0.01,
680,-0.28,0.005,
681,-0.265,0.01,
682,-0.26,0.0,
683,-0.255,0.0,
684,-0.28,-0.015,
685,-0.275,-0.025,
686,-0.28,-0.015,
687,-0.265,0.0,
688,-0.255,0.0,
689,-0.26,-0.015,
690,-0.275,-0.01,
691,-0.28,-0.01,
692,-0.28,-0.005,
693,-0.27,0.0,
694,-0.25,0.01,
695,-0.255,-0.01,
696,-0.27,-0.025,
697,-0.285,-0.02,
698,-0.285,-0.01,
699,-0.27,0.01,
700,-0.25,0.005,
701,-0.25,0.0,
702,-0.265,0.0,
703,-0.27,-0.015,
704,-0.275,-0.015,
705,-0.26,0.015,
706,-0.255,0.025,
707,-0.245,0.02,
708,-0.245,0.015,
709,-0.245,0.035,
710,-0.24,0.08,
711,-0.225,0.125,
712,-0.2,0.155,
713,-0.18,0.21,
714,-0.17,0.24,
715,-0.15,0.3,
716,-0.14,0.385,
717,-0.165,0.49,
718,-0.215,0.625,
719,-0.25,0.765,
720,-0.305,0.895,
721,-0.355,1.035,
722,-0.405,1.2,
723,-0.46,1.35,
724,-0.505,1.515,
725,-0.505,1.685,
726,-0.46,1.865,N
727,-0.405,2.015,
728,-0.295,2.03,
729,-0.15,1.915,
730,-0.025,1.625,
731,0.025,1.15,
732,-0.035,0.695,
733,-0.205,0.335,
734,-0.43,0.11,
735,-0.6,0.005,
736,-0.67,-0.045,
737,-0.675,-0.065,
738,-0.63,-0.07,
739,-0.585,-0.045,
740,-0.5,-0.03,
741,-0.365,-0.015,
742,-0.275,-0.015,
743,-0.26,-0.03,
744,-0.25,-0.065,
745,-0.25,-0.08,
746,-0.24,-0.085,
747,-0.23,-0.09,
748,-0.205,-0.09,
749,-0.21,-0.09,
750,-0.21,-0.11,
751,-0.23,-0.12,
752,-0.215,-0.1,
753,-0.195,-0.11,
754,-0.18,-0.1,
755,-0.18,-0.115,
756,-0.175,-0.115,
757,-0.185,-0.12,
758,-0.185,-0.11,
759,-0.165,-0.095,
760,-0.155,-0.105,
761,-0.155,-0.115,
762,-0.165,-0.135,
763,-0.17,-0.135,
764,-0.17,-0.125,
765,-0.155,-0.11,
766,-0.155,-0.115,
767,-0.13,-0.12,
768,-0.155,-0.125,
769,-0.165,-0.135,
770,-0.17,-0.14,
771,-0.15,-0.12,
772,-0.13,-0.125,
773,-0.14,-0.14,
774,-0.15,-0.15,
775,-0.165,-0.16,
776,-0.165,-0.145,
777,-0.155,-0.13,
778,-0.14,-0.135,
779,-0.14,-0.14,
780,-0.145,-0.17,
781,-0.15,-0.165,
782,-0.155,-0.16,
783,-0.14,-0.15,
784,-0.12,-0.14,
785,-0.13,-0.15,
786,-0.135,-0.165,
787,-0.135,-0.165,
788,-0.155,-0.16,
789,-0.14,-0.15,
790,-0.11,-0.15,
791,-0.13,-0.155,
792,-0.135,-0.165,
793,-0.125,-0.16,
794,-0.125,-0.15,
795,-0.115,-0.14,
796,-0.1,-0.14,
797,-0.105,-0.15,
798,-0.105,-0.165,
799,-0.12,-0.17,
800,-0.115,-0.155,
801,-0.115,-0.13,
802,-0.095,-0.12,
803,-0.08,-0.135,
804,-0.11,-0.145,
805,-0.105,-0.155,
806,-0.11,-0.14,
807,-0.09,-0.12,
808,-0.07,-0.13,
809,-0.065,-0.135,
810,-0.075,-0.14,
811,-0.08,-0.135,
812,-0.085,-0.13,
813,-0.055,-0.105,
814,-0.045,-0.105,
815,-0.04,-0.105,
816,-0.04,-0.11,
817,-0.04,-0.11,
818,-0.05,-0.105,
819,-0.02,-0.07,
820,-0.005,-0.06,
821,0.0,-0.06,
822,-0.005,-0.065,
823,-0.015,-0.05,
824,-0.01,-0.03,
825,0.0,0.0,
826,0.025,0.01,
827,0.025,0.015,
828,0.02,0.01,
829,0.01,0.02,
830,0.01,0.05,
831,0.03,0.065,
832,0.05,0.085,
833,0.04,0.1,
834,0.03,0.1,
835,0.025,0.115,
836,0.04,0.135,
837,0.06,0.165,
838,0.08,0.17,
839,0.07,0.185,
840,0.055,0.18,
841,0.035,0.175,
842,0.05,0.2,
843,0.045,0.2,
844,0.045,0.22,
845,0.035,0.21,
846,0.02,0.195,
847,-0.005,0.18,
848,-0.015,0.18,
849,-0.005,0.185,
850,-0.005,0.165,
851,-0.02,0.15,
852,-0.035,0.135,
853,-0.065,0.105,
854,-0.085,0.11,
855,-0.08,0.115,
856,-0.07,0.095,
857,-0.095,0.085,
858,-0.11,0.06,
859,-0.14,0.05,
860,-0.135,0.04,
861,-0.13,0.055,
862,-0.125,0.055,
863,-0.14,0.045,
864,-0.15,0.03,
865,-0.15,0.015,
866,-0.155,0.03,
867,-0.145,0.035,
868,-0.15,0.03,
869,-0.145,0.025,
870,-0.175,0.005,
871,-0.17,0.01,
872,-0.175,0.015,
873,-0.155,0.025,
874,-0.15,0.015,
875,-0.16,0.005,
876,-0.165,-0.005,
877,-0.175,-0.005,
878,-0.185,0.0,
879,-0.18,0.015,
880,-0.17,0.015,
881,-0.16,0.015,
882,-0.185,-0.01,
883,-0.19,-0.015,
884,-0.2,-0.01,
885,-0.2,-0.015,
886,-0.175,0.0,
887,-0.185,-0.01,
888,-0.195,-0.02,
889,-0.2,-0.015,
890,-0.2,-0.02,
891,-0.175,0.005,
892,-0.17,-0.005,
893,-0.195,-0.015,
894,-0.185,-0.04,
895,-0.19,-0.03,
896,-0.195,-0.025,
897,-0.195,-0.01,
898,-0.17,-0.01,
899,-0.175,-0.025,
900,-0.18,-0.035,
901,-0.19,-0.03,
902,-0.195,-0.035,
903,-0.195,-0.02,
904,-0.19,-0.02,
905,-0.185,-0.025,
906,-0.195,-0.04,
907,-0.215,-0.055,
908,-0.215,-0.035,
909,-0.205,-0.015,
910,-0.19,-0.03,
911,-0.205,-0.035,
912,-0.215,-0.055,
913,-0.22,-0.04,
914,-0.215,-0.03,
915,-0.205,-0.02,
916,-0.185,-0.01,
917,-0.19,-0.015,
918,-0.195,-0.03,
919,-0.2,-0.035,
920,-0.215,-0.03,
921,-0.205,-0.02,
922,-0.19,-0.005,
923,-0.185,-0.02,
924,-0.195,-0.04,
925,-0.2,-0.03,
926,-0.21,-0.025,
927,-0.19,0.0,
928,-0.17,-0.01,
929,-0.18,-0.015,
930,-0.2,-0.025,
931,-0.2,-0.025,
932,-0.21,-0.01,
933,-0.215,-0.005,
934,-0.185,0.0,
935,-0.195,-0.005,
936,-0.2,-0.025,
937,-0.225,-0.02,
938,-0.225,-0.01,
939,-0.215,-0.01,
940,-0.205,-0.005,
941,-0.21,0.0,
942,-0.23,-0.015,
943,-0.235,-0.025,
944,-0.23,-0.015,
945,-0.21,0.0,
946,-0.205,-0.01,
947,-0.21,-0.015,
948,-0.23,-0.02,
949,-0.24,-0.025,
950,-0.235,-0.015,
951,-0.22,0.0,
952,-0.205,0.0,
953,-0.215,-0.02,
954,-0.22,-0.03,
955,-0.23,-0.035,
956,-0.245,-0.02,
957,-0.225,-0.01,
958,-0.225,-0.005,
959,-0.23,-0.01,
960,-0.235,-0.04,
961,-0.245,-0.04,
962,-0.255,-0.04,
963,-0.255,-0.025,
964,-0.245,-0.015,
965,-0.25,-0.025,
966,-0.255,-0.04,
967,-0.27,-0.035,
968,-0.265,-0.025,
969,-0.255,-0.015,
970,-0.235,-0.025,
971,-0.245,-0.03,
972,-0.25,-0.05,
973,-0.265,-0.045,
974,-0.26,-0.035,
975,-0.25,-0.025,
976,-0.25,-0.03,
977,-0.26,-0.02,
978,-0.27,-0.055,
979,-0.27,-0.055,
980,-0.275,-0.04,
981,-0.255,-0.03,
982,-0.245,-0.035,
983,-0.255,-0.05,
984,-0.265,-0.04,
985,-0.29,-0.05,
986,-0.28,-0.035,
987,-0.27,-0.015,
988,-0.26,-0.025,
989,-0.27,-0.035,
990,-0.28,-0.05,
991,-0.285,-0.045,
992,-0.295,-0.04,
993,-0.27,-0.015,
994,-0.255,-0.02,
995,-0.27,-0.025,
996,-0.275,-0.04,
997,-0.29,-0.055,
998,-0.28,-0.04,
999,-0.245,-0.04,
1000,-0.27,-0.04,
1001,-0.285,-0.045,
1002,-0.28,-0.05,
1003,-0.29,-0.04,
1004,-0.265,-0.025,
1005,-0.255,-0.03,
1006,-0.26,-0.025,
1007,-0.275,-0.04,
1008,-0.29,-0.04,
1009,-0.275,-0.04,
1010,-0.28,-0.01,
1011,-0.275,-0.015,
1012,-0.265,-0.03,
1013,-0.275,-0.045,
1014,-0.29,-0.04,
1015,-0.29,-0.03,
1016,-0.29,-0.02,
1017,-0.27,-0.025,
1018,-0.265,-0.03,
1019,-0.29,-0.035,
1020,-0.295,-0.045,
1021,-0.29,-0.025,
1022,-0.28,-0.005,
1023,-0.26,-0.01,
1024,-0.265,-0.025,
1025,-0.275,-0.035,
1026,-0.3,-0.03,
1027,-0.29,-0.03,
1028,-0.27,-0.02,
1029,-0.27,-0.015,
1030,-0.275,-0.035,
1031,-0.28,-0.04,
1032,-0.285,-0.04,
1033,-0.305,-0.025,
1034,-0.27,-0.005,
1035,-0.25,-0.015,
1036,-0.265,-0.02,
1037,-0.28,-0.04,
1038,-0.295,-0.05,
1039,-0.29,-0.04,
1040,-0.285,-0.015,
1041,-0.27,-0.01,
1042,-0.26,-0.02,
1043,-0.28,-0.025,
1044,-0.295,-0.045,
1045,-0.29,-0.03,
1046,-0.28,-0.01,
1047,-0.25,0.0,
1048,-0.265,-0.015,
1049,-0.27,-0.03,
1050,-0.28,-0.02,
1051,-0.28,-0.015,
1052,-0.25,-0.005,
1053,-0.235,-0.005,
1054,-0.25,0.0,
1055,-0.255,-0.01,
1056,-0.25,-0.005,
1057,-0.24,0.015,
1058,-0.22,0.02,
1059,-0.2,0.025,
1060,-0.235,0.03,
1061,-0.225,0.01,
1062,-0.245,0.005,
1063,-0.235,0.03,
1064,-0.215,0.04,
1065,-0.195,0.045,
1066,-0.19,0.04,
1067,-0.2,0.035,
1068,-0.225,0.03,
1069,-0.225,0.035,
1070,-0.23,0.045,
1071,-0.215,0.035,
1072,-0.235,0.015,
1073,-0.24,0.015,
1074,-0.255,0.005,
1075,-0.265,0.02,
1076,-0.25,0.035,
1077,-0.245,0.04,
1078,-0.23,0.015,
1079,-0.24,0.02,
1080,-0.255,0.015,
1081,-0.24,0.04,
1082,-0.245,0.05,
1083,-0.22,0.04,
1084,-0.225,0.04,
1085,-0.225,0.025,
1086,-0.23,0.005,
1087,-0.235,0.0,
1088,-0.235,0.005,
1089,-0.245,0.005,
1090,-0.27,-0.02,
1091,-0.285,-0.02,
1092,-0.305,-0.02,
1093,-0.305,-0.015,
1094,-0.28,0.0,
1095,-0.27,-0.005,
1096,-0.28,-0.005,
1097,-0.28,-0.015,
1098,-0.295,-0.03,
1099,-0.29,-0.015,
1100,-0.28,0.0,
1101,-0.27,0.0,
1102,-0.285,-0.01,
1103,-0.29,-0.025,
1104,-0.29,-0.03,
1105,-0.285,-0.015,
